ID,Material_Description
196,"HOUSING BOTTOM - 2"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASTM A312"
197,"INSULATION GASKET KIT - 4"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
198,"ASSEMBLY COMPRESSOR - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
199,"BARREL NIPPLE - 20"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
200,"BARREL NIPPLE - 16"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
201,"CABLE GLAND - 8"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
202,"HOUSING BOTTOM - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
203,"SUCTION HEADER - 20"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ISO 9001"
204,"SUCTION HEADER - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
205,"MOVABLE STOOL - 20"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
206,"CABLE GLAND - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
207,"SPUR GEAR PINION SHAFT - 10"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
208,"SPUR GEAR PINION SHAFT - 20"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASTM A312"
209,"ASSEMBLY COMPRESSOR - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
210,"INSULATION GASKET KIT - 16"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASTM A312"
211,"FIXED PORTABLE STOOL - 10"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
212,"BELLOW - 20"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ISO 9001"
213,"BARREL NIPPLE - 10"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
214,"FIXED PORTABLE STOOL - 4"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
215,"INSULATION GASKET KIT - 8"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
216,"SUCTION HEADER - 6"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
217,"CABLE GLAND - 8"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
218,"SPUR GEAR PINION SHAFT - 6"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
219,"SUCTION HEADER - 3"" - 150# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
220,"SPUR GEAR PINION SHAFT - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
221,"FIXED PORTABLE STOOL - 2"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASTM A312"
222,"ASSEMBLY COMPRESSOR - 4"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
223,"INSULATION GASKET KIT - 3"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
224,"INSULATION GASKET KIT - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
225,"MOVABLE STOOL - 4"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
226,"BALL VALVE - 4"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ISO 9001"
227,"BARREL NIPPLE - 16"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
228,"BELLOW - 16"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
229,"CONTAINER ASSEMBLY - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
230,"BALL VALVE - 20"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASTM A312"
231,"CABLE GLAND - 16"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
232,"CABLE GLAND - 2"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
233,"CABLE GLAND - 16"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
234,"HOUSING BOTTOM - 6"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
235,"HOUSING BOTTOM - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
236,"MOVABLE STOOL - 16"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
237,"BARREL NIPPLE - 20"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
238,"SPUR GEAR PINION SHAFT - 8"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.21"
239,"HOUSING BOTTOM - 10"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
240,"BALL VALVE - 8"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
241,"BELLOW - 4"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
242,"AIR COOLED INTERCOOLER - 12"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
243,"MOTOR SPARES - 20"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
244,"FIXED PORTABLE STOOL - 2"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
245,"CABLE GLAND - 4"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
246,"AIR COOLED INTERCOOLER - 4"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
247,"MOVABLE STOOL - 12"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
248,"BELLOW - 16"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
249,"MOTOR SPARES - 16"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASTM A312"
250,"MOTOR SPARES - 8"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
251,"HOUSING BOTTOM - 8"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ISO 9001"
252,"HOUSING BOTTOM - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
253,"CONTAINER ASSEMBLY - 8"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
254,"SPUR GEAR PINION SHAFT - 3"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
255,"BALL VALVE - 4"" - 150# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
256,"CONTAINER ASSEMBLY - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
257,"HOUSING BOTTOM - 20"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
258,"MOVABLE STOOL - 16"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
259,"SPUR GEAR PINION SHAFT - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
260,"BELLOW - 12"" - 300# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
261,"AIR COOLED INTERCOOLER - 4"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
262,"CONTAINER ASSEMBLY - 10"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
263,"CABLE GLAND - 12"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASTM A312"
264,"CONTAINER ASSEMBLY - 4"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
265,"HOUSING BOTTOM - 12"" - 600# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
266,"MOVABLE STOOL - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ISO 9001"
267,"CONTAINER ASSEMBLY - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
268,"SUCTION HEADER - 2"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
269,"BALL VALVE - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
270,"CONTAINER ASSEMBLY - 10"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.21"
271,"SPUR GEAR PINION SHAFT - 20"" - 300# - SS-316, DRAWING NO. PRJ-R5498-2031, ASTM A312"
272,"ASSEMBLY COMPRESSOR - 6"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
273,"MOTOR SPARES - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
274,"HOUSING BOTTOM - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
275,"BELLOW - 2"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
276,"BARREL NIPPLE - 10"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.5"
277,"BELLOW - 12"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
278,"SUCTION HEADER - 6"" - 150# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
279,"INSULATION GASKET KIT - 3"" - 600# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
280,"BELLOW - 8"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
281,"SUCTION HEADER - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
282,"FIXED PORTABLE STOOL - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
283,"BARREL NIPPLE - 12"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
284,"FIXED PORTABLE STOOL - 6"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
285,"FIXED PORTABLE STOOL - 3"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
286,"MOVABLE STOOL - 16"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.5"
287,"ASSEMBLY COMPRESSOR - 6"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.21"
288,"FIXED PORTABLE STOOL - 4"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
289,"MOVABLE STOOL - 12"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ISO 9001"
290,"INSULATION GASKET KIT - 20"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
291,"AIR COOLED INTERCOOLER - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
292,"SPUR GEAR PINION SHAFT - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
293,"INSULATION GASKET KIT - 20"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
294,"BALL VALVE - 3"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
295,"BALL VALVE - 20"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
296,"CABLE GLAND - 2"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
297,"BALL VALVE - 2"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
298,"FIXED PORTABLE STOOL - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5498-2031, ASTM A312"
299,"MOVABLE STOOL - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
300,"CONTAINER ASSEMBLY - 4"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
301,"FIXED PORTABLE STOOL - 8"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2031, ISO 9001"
302,"SUCTION HEADER - 10"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
303,"FIXED PORTABLE STOOL - 6"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
304,"AIR COOLED INTERCOOLER - 12"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
305,"MOTOR SPARES - 8"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
306,"INSULATION GASKET KIT - 12"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
307,"BALL VALVE - 10"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
308,"FIXED PORTABLE STOOL - 3"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.5"
309,"SPUR GEAR PINION SHAFT - 4"" - 150# - SS-316, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
310,"BARREL NIPPLE - 8"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
311,"FIXED PORTABLE STOOL - 6"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5463-124, ASTM A312"
312,"SPUR GEAR PINION SHAFT - 16"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
313,"MOVABLE STOOL - 2"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
314,"ASSEMBLY COMPRESSOR - 12"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASME B16.5"
315,"FIXED PORTABLE STOOL - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
316,"AIR COOLED INTERCOOLER - 20"" - 300# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
317,"CONTAINER ASSEMBLY - 8"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASTM A312"
318,"MOTOR SPARES - 12"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
319,"CABLE GLAND - 4"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ASTM A312"
320,"BARREL NIPPLE - 2"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
321,"BARREL NIPPLE - 3"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
322,"AIR COOLED INTERCOOLER - 20"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASTM A312"
323,"HOUSING BOTTOM - 12"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ISO 9001"
324,"AIR COOLED INTERCOOLER - 6"" - 600# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
325,"BALL VALVE - 4"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
326,"INSULATION GASKET KIT - 16"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
327,"SPUR GEAR PINION SHAFT - 12"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
328,"AIR COOLED INTERCOOLER - 2"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5463-124, ASTM A312"
329,"BARREL NIPPLE - 12"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASTM A312"
330,"SPUR GEAR PINION SHAFT - 8"" - 600# - SS-316, DRAWING NO. PRJ-R5498-2037, ASTM A312"
331,"HOUSING BOTTOM - 3"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ISO 9001"
332,"SUCTION HEADER - 3"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
333,"SPUR GEAR PINION SHAFT - 3"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
334,"BELLOW - 16"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
335,"MOTOR SPARES - 20"" - 150# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ISO 9001"
336,"CONTAINER ASSEMBLY - 16"" - 600# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
337,"INSULATION GASKET KIT - 10"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
338,"SPUR GEAR PINION SHAFT - 16"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
339,"FIXED PORTABLE STOOL - 3"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
340,"INSULATION GASKET KIT - 12"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
341,"HOUSING BOTTOM - 3"" - 300# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
342,"MOTOR SPARES - 20"" - 600# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
343,"SUCTION HEADER - 3"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
344,"AIR COOLED INTERCOOLER - 4"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
345,"HOUSING BOTTOM - 4"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
346,"SPUR GEAR PINION SHAFT - 6"" - 600# - HOT DIP GALVANIZED, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
347,"INSULATION GASKET KIT - 3"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
348,"BALL VALVE - 20"" - 600# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASTM A312"
349,"MOTOR SPARES - 16"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
350,"BELLOW - 4"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
351,"BALL VALVE - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
352,"BALL VALVE - 6"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
353,"ASSEMBLY COMPRESSOR - 10"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
354,"ASSEMBLY COMPRESSOR - 2"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.5"
355,"MOTOR SPARES - 4"" - 600# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASME B16.5"
356,"INSULATION GASKET KIT - 12"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
357,"CABLE GLAND - 10"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASTM A312"
358,"SUCTION HEADER - 4"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
359,"MOTOR SPARES - 12"" - 150# - DUAL CERTIFIED, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
360,"ASSEMBLY COMPRESSOR - 20"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.5"
361,"BALL VALVE - 12"" - 600# - SMLS - ASTM A106 GR.B, DRAWING NO. PRJ-R5463-124, ASME B16.21"
362,"BARREL NIPPLE - 2"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2031, ASME B16.5"
363,"SUCTION HEADER - 8"" - 600# - DOUBLE ZP STEEL WASHERS, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
364,"CABLE GLAND - 12"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ-R5463-124, ASTM A312"
365,"SPUR GEAR PINION SHAFT - 10"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
366,"BALL VALVE - 8"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
367,"BARREL NIPPLE - 2"" - 150# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
368,"FIXED PORTABLE STOOL - 8"" - 150# - SCH.XS ASTM A106 GR.B SEAMLESS, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
369,"ASSEMBLY COMPRESSOR - 2"" - 600# - DUAL CERTIFIED, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
370,"SUCTION HEADER - 2"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5463-124, ASME B16.21"
371,"CONTAINER ASSEMBLY - 20"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
372,"CONTAINER ASSEMBLY - 20"" - 300# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ISO 9001"
373,"SPUR GEAR PINION SHAFT - 10"" - 600# - HOT DIP GALVANIZED, DRAWING NO. PRJ-R5498-2037, ISO 9001"
374,"AIR COOLED INTERCOOLER - 10"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
375,"CABLE GLAND - 10"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASTM A312"
376,"AIR COOLED INTERCOOLER - 20"" - 600# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2031, ASME B16.21"
377,"HOUSING BOTTOM - 16"" - 150# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
378,"INSULATION GASKET KIT - 4"" - 150# - SS-316, DRAWING NO. G3429.DRN.POT.001, ASME B16.5"
379,"HOUSING BOTTOM - 4"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
380,"BARREL NIPPLE - 8"" - 300# - SS-316, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.5"
381,"HOUSING BOTTOM - 10"" - 150# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
382,"CABLE GLAND - 10"" - 150# - FLANGED TO B-16.5 RF, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
383,"AIR COOLED INTERCOOLER - 8"" - 300# - DUAL CERTIFIED, DRAWING NO. PRJ-R5463-124, ASME B16.21"
384,"SPUR GEAR PINION SHAFT - 10"" - 300# - FLANGED TO B-16.5 RF, DRAWING NO. G3429.DRN.POT.001, ASME B16.21"
385,"FIXED PORTABLE STOOL - 20"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2037, ISO 9001"
386,"BELLOW - 16"" - 150# - G-10 RETAINER W/PTFE SEALING, DRAWING NO. G3429.DRN.POT.001, ISO 9001"
387,"HOUSING BOTTOM - 2"" - 150# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASTM A312"
388,"INSULATION GASKET KIT - 8"" - 300# - HOT DIP GALVANIZED, DRAWING NO. PRJ.G1262.STUB SHAFT PLATE, ASME B16.21"
389,"SUCTION HEADER - 2"" - 300# - DOUBLE COMPRESSION WITH PVC HOOD, DRAWING NO. PRJ-R5498-2037, ASME B16.21"
390,"CABLE GLAND - 4"" - 300# - DOUBLE ZP STEEL WASHERS, DRAWING NO. PRJ-R5498-2031, ISO 9001"
